Description,Label
Dừa lắm :)),non-toxic
Bấp bênh vl thế,toxic
Chắc cũng biết ko tồn tại đc bao lâu nữa nên cố gắng vét,toxic
"Thấy chán ad page này kiến thức thì nông cản cái gì cũng auto sủa, cái nhìn thì tiêu cực, nói chung là dốt còn nát",toxic
Giang Giang Đỗ Thị Ngọc Hà trend mới kìa kìa,non-toxic
đcm 😒 sau có con cho hút cỏ chữa bệnh chứ đéo đưa đi bệnh viện 😒,toxic
Má nứng quá aiu ơi,toxic
Chụp cái ảnh thôi làm đéo gì đâu mà phiền,toxic
Tăng theo giờ 😭😭😭,non-toxic
Cực kì thuyết phục :c,non-toxic
Emma Nguyen vậy mà ca ngợi bên kia lắm... Về làm lol gì,toxic
Thằng chó,toxic
Loại nghiện game + săm trổ k có tương lai đâu nha,toxic
"Nhung Pham Ai chê nghèo ngta có tiền đi nước nào kệ mẹ người ta, Nó vẫn mang qtich VN thì về VN chữa VN đã cấm đâu mà lên tiếng lm gì. ÍCH KỶ",toxic
toàn tin vớ vẩn ... khi nào việt nam sát nhấp với trung quốc thì cả cái DNA này xách dép cho chúng ta hết .. hãy tin vào sự lãnh đạo tài tình của đảng và bộ máy nhà nước...:3 :)),toxic
Ủa bê đê có lol hả ta ??😂😂😂,toxic
"Kéo chuột vãi lồn luôn, nó yếu lắm rồi :D",toxic
Mỗi lần lên sóng là đeo vàng làm như giàu lắm hay sao mà khoe của thấy ghê.còn cái mặt mình nhìn chung ko có 1 chỗ nào thiện cảm hết.nhìn mặt là biết cái thứ đàn bà độc mồm độc miệng.hung dữ.nói tục chửi thề v...v tưởng z là hay lắm,toxic
Làm thêm chục củ mở hòm csgo anh êi :V,non-toxic
Hãnh diện về ng thầy có tâm nhất của năm.,non-toxic
Vòng tiền xoay vòng lo nhìu mặt khác của xã hội chứ đâu lo cho mỗi bạn. Vd tiền xây biệt phủ tiền cho con đi du học...,non-toxic
"12:55 sau buổi phỏng vấn này tôi sẽ múa 1 bài võ cho...choX3,14 ... dập đĩa dữ 😂😂😂",non-toxic
Du học sinh Úc pewpew,non-toxic
Nói cái gì vậy mà  cứ nghe đụ má đụ cha vs vàng,toxic
Có ai thấy khá giống đầu của Jadon Sancho ko nhỉ?,non-toxic
Khánh Con Sao Ko lấy số người chết của Ý ra nhỉ. Ý cũng là châu Âu đó. Hi sinh người chết vừa làm tăng miễn dịch cộng đồng vừa cho đỡ chật đất. Cách làm của Tây hay thật ta ơi 😌,toxic
Nhịn nói sẽ bớt ngu chú ạ...hi,toxic
Quảng Nam lại thêm 1ca nữa ạ,non-toxic
Đúng là con người mày không có ý thức dân việt nam chúng ta không bao giờ con cho cái ?,toxic
Tên bài hát còn trẻ trâu hơn cả t nhé ! Cười vl 😁,toxic
"Bá ý khẩu nghiệp nặng lắm nha,đầu thai ch hết khẩu nghiệp nx",toxic
K ICM làm ca sĩ luôn rồi à 😢😢😢,non-toxic
"Thôi chết mẹ, hôm nọ thì con mẹ nấm thối kêu gào ông trum ông vại này nọ,giờ lại đến idol trần dần. Đang tự hỏi,không biết con mẹ nấm thối có phải là cộng sản nằm vùng không ?",toxic
"Hải Yến bố con thần kinh, thở ra cái là thấy mùi rồi",toxic
cho nó rít vài bi cần là nó ngoan vl luôn,toxic
Nghĩ nó chán . 🤔,non-toxic
